Date,Site,Fraction,Acquisition Time,QC Status,"P Oshift 31/47
Oxygen DRC
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
10/15/2021,10,UF,06/17/2023 07:38:31,Failed,4.319,33688.907,0.287,0.860,2.119,2.863,0.071,3.111,0.008,0.033
10/15/2021,10,UF,06/17/2023 07:44:50,Failed,4.085,33118.622,0.269,0.857,2.155,2.886,0.060,3.099,0.008,0.028
10/15/2021,11,UF,06/17/2023 07:50:50,Failed,3.334,32909.783,1.442,0.850,3.059,2.989,0.053,2.635,0.005,0.033
10/15/2021,11,UF,06/17/2023 07:57:09,Failed,3.500,32446.258,1.457,0.869,3.091,3.034,0.067,2.629,0.007,0.036
6/21/2021,1,W,05/15/2023 22:04:17,Passed,95.5127819,50014.60911,116.0729088,5.72370507,1.66740057,12.90683137,0.150406372,19.63937721,0.033927077,0.525357806
6/21/2021,6,W,05/15/2023 22:10:03,Passed,45.09788841,54436.67293,133.664967,14.03358018,4.881509423,12.81938004,0.118448905,13.0939943,0.050544452,1.038128123
6/21/2021,8,W,05/15/2023 22:15:48,Passed,49.94399893,59098.23099,131.1604015,13.90725639,5.572453166,12.84995732,0.07877133,11.62174987,0.060416937,1.26508994
6/21/2021,9,W,05/15/2023 22:33:30,Passed,52.77232571,52640.61374,156.638577,12.37242524,4.909694779,9.938812509,0.057606076,6.705153618,0.044574112,1.030440871
6/21/2021,10,W,05/15/2023 23:20:40,Passed,54.83578638,71500.29627,127.5913771,16.85714625,7.711198561,10.23554403,0.176161882,5.623833596,0.077890528,0.839074385
6/21/2021,11,W,05/15/2023 23:26:25,Passed,58.737805,62887.47531,120.6675003,10.68202712,5.914260051,10.56506158,0.066808422,5.358610464,0.045256025,0.898875317
