"","Sample.Id","Element","conc","Concentration"
"363","6_21_21_F_10","Pb_NH3",0.139,0.280808080808081
"364","6_21_21_F_11","Na",6345.718,12819.6323232323
"365","6_21_21_F_11","Mg",7509.717,15171.1454545455
"366","6_21_21_F_11","Al",7.622,15.3979797979798
"367","6_21_21_F_11","P",26.971,54.4868686868687
"368","6_21_21_F_11","S",11822.102,23883.0343434343
"369","6_21_21_F_11","K",1632.751,3298.48686868687
"370","6_21_21_F_11","Ca",30762.764,62146.997979798
"371","6_21_21_F_11","V",0.904,1.82626262626263
"372","6_21_21_F_11","Cr_KED",0.047,0.094949494949495
"373","6_21_21_F_11","Cr_NH3",0.055,0.111111111111111
"374","6_21_21_F_11","Fe_NH3",7.061,14.2646464646465
"375","6_21_21_F_11","Mn",7.873,15.9050505050505
"376","6_21_21_F_11","Fe_KED",7.383,14.9151515151515
"377","6_21_21_F_11","Co",0.022,0.0444444444444444
"378","6_21_21_F_11","Ni",0.18,0.363636363636364
"379","6_21_21_F_11","Cu_KED",4.168,8.42020202020202
"380","6_21_21_F_11","Cu_NH3",4.211,8.50707070707071
"381","6_21_21_F_11","Zn",2.018,4.07676767676768
"382","6_21_21_F_11","As_STD",5.089,10.2808080808081
"383","6_21_21_F_11","As_KED",4.511,9.11313131313131
"384","6_21_21_F_11","As_Oshift",5.196,10.4969696969697
"385","6_21_21_F_11","Se..77..77.77..ppb.",0.343,0.692929292929293
"386","6_21_21_F_11","Se77_Oshift",0.078,0.157575757575758
"387","6_21_21_F_11","Se78_Oshift",0.081,0.163636363636364
"388","6_21_21_F_11","Se80_Oshift",0.085,0.171717171717172
"389","6_21_21_F_11","Se..82..82.82..ppb.",0.304,0.614141414141414
"390","6_21_21_F_11","Se82_Oshift",0.1,0.202020202020202
"391","6_21_21_F_11","Mo_NH3",2.735,5.52525252525253
"392","6_21_21_F_11","Mo_Oshift",2.761,5.57777777777778
"393","6_21_21_F_11","Cd111",0.017,0.0343434343434343
"394","6_21_21_F_11","Cd114",0.017,0.0343434343434343
"395","6_21_21_F_11","Pb_STD",0.144,0.290909090909091
"396","6_21_21_F_11","Pb_NH3",0.143,0.288888888888889
"397","6_21_21_W_1","Na",1119.253,11305.5858585859
"398","6_21_21_W_1","Mg",884.56,8934.94949494949
"399","6_21_21_W_1","Al",10.104,102.060606060606
"400","6_21_21_W_1","P",9.456,95.5151515151515
"401","6_21_21_W_1","S",3040.575,30712.8787878788
"402","6_21_21_W_1","K",339.458,3428.86868686869
"403","6_21_21_W_1","Ca",4951.446,50014.6060606061
"404","6_21_21_W_1","V",0.142,1.43434343434343
"405","6_21_21_W_1","Cr_KED",0.0092832184233347,0.0937698830639869
"406","6_21_21_W_1","Cr_NH3",0.024,0.242424242424242
"407","6_21_21_W_1","Fe_NH3",11.491,116.070707070707
"408","6_21_21_W_1","Mn",8.18,82.6262626262626
"409","6_21_21_W_1","Fe_KED",11.515,116.313131313131
"410","6_21_21_W_1","Co",0.013,0.131313131313131
"411","6_21_21_W_1","Ni",0.075,0.757575757575758
"412","6_21_21_W_1","Cu_KED",0.563,5.68686868686869
"413","6_21_21_W_1","Cu_NH3",0.567,5.72727272727273
"414","6_21_21_W_1","Zn",0.165,1.66666666666667
"415","6_21_21_W_1","As_STD",1.337,13.5050505050505
"416","6_21_21_W_1","As_KED",1.055,10.6565656565657
"417","6_21_21_W_1","As_Oshift",1.278,12.9090909090909
"418","6_21_21_W_1","Se..77..77.77..ppb.",0.11572554213896,1.16894487009051
"419","6_21_21_W_1","Se77_Oshift",0.0226125188303962,0.228409281115113
"420","6_21_21_W_1","Se78_Oshift",0.00665204009418802,0.0671923241837174
"421","6_21_21_W_1","Se80_Oshift",0.015,0.151515151515152
"422","6_21_21_W_1","Se..82..82.82..ppb.",0.0403970801917008,0.408051315067684
"423","6_21_21_W_1","Se82_Oshift",0.0138528496230088,0.139927773969786
"424","6_21_21_W_1","Mo_NH3",1.944,19.6363636363636
"425","6_21_21_W_1","Mo_Oshift",1.879,18.979797979798
"426","6_21_21_W_1","Cd111",0.003,0.0303030303030303
"427","6_21_21_W_1","Cd114",0.005,0.0505050505050505
"428","6_21_21_W_1","Pb_STD",0.054,0.545454545454546
"429","6_21_21_W_1","Pb_NH3",0.052,0.525252525252525
"430","6_21_21_W_6","Na",1441.104,14556.6060606061
"431","6_21_21_W_6","Mg",1080.933,10918.5151515152
"432","6_21_21_W_6","Al",13.628,137.656565656566
